id,state,abbr,bachelor_degree,poor_health
1,Alabama,AL,14.7,7.3
2,Alaska,AK,18.4,3.8
3,Arizona,AZ,17.3,4.5
4,Arkansas,AR,13.8,7.5
5,California,CA,20,4.6
6,Colorado,CO,24.1,3.1
7,Connecticut,CT,21.3,3
8,Delaware,DE,18.3,3.5
9,District of Columbia,DC,24.3,3.5
10,Florida,FL,17.4,5.1
11,Georgia,GA,18.2,5.7
12,Hawaii,HI,20.6,3.3
13,Idaho,ID,16.8,3.7
14,Illinois,IL,20.1,3.8
15,Indiana,IN,15.7,5.5
16,Iowa,IA,18.6,3.2
17,Kansas,KS,20.3,3.8
18,Kentucky,KY,13,8.4
19,Louisiana,LA,15.2,6.9
20,Maine,ME,19.4,4.2
21,Maryland,MD,20.7,2.7
22,Massachusetts,MA,23.2,4
23,Michigan,MI,16.5,5
24,Minnesota,MN,22.7,2.7
25,Mississippi,MS,13,7.5
26,Missouri,MO,17.1,5
27,Montana,MT,19.5,4.3
28,Nebraska,NE,20.2,3.3
29,Nevada,NV,15.2,4.7
30,New Hampshire,NH,21.7,3.9
31,New Jersey,NJ,23.1,3.7
32,New Mexico,NM,15.1,6.2
33,New York,NY,19.6,4.9
34,North Carolina,NC,18.6,5.5
35,North Dakota,ND,19.8,3.1
36,Ohio,OH,16.6,4.8
37,Oklahoma,OK,16,6.4
38,Oregon,OR,19.2,4.6
39,Pennsylvania,PA,17.5,4.4
40,Rhode Island,RI,18.1,3.5
41,South Carolina,SC,16.7,6.4
42,South Dakota,SD,20,3.4
43,Tennessee,TN,16.2,7.6
44,Texas,TX,18.2,5.3
45,Utah,UT,20.8,3.1
46,Vermont,VT,20.9,3
47,Virginia,VA,20.9,4.7
48,Washington,WA,21,3.8
49,West Virginia,WV,11.8,9.1
50,Wisconsin,WI,18.9,4.2
51,Wyoming,WY,17.9,3.5
52,Puerto Rico,PR,17.4,4.1
